id,member,score_no,score_yes,pred
12001,ce_e5,0.00000899,0.99999106,Yes
12002,ce_e5,0.00004524,0.99995470,Yes
12003,ce_e5,0.00001840,0.99998164,Yes
12004,ce_e5,0.00002931,0.99997067,Yes
12005,ce_e5,0.00001496,0.99998498,Yes
12006,ce_e5,0.00000709,0.99999297,Yes
12007,ce_e5,0.00006371,0.99993622,Yes
12008,ce_e5,0.00000779,0.99999225,Yes
12009,ce_e5,0.09763744,0.90236259,Yes
12010,ce_e5,0.00017165,0.99982834,Yes
12011,ce_e5,0.00001137,0.99998868,Yes
12012,ce_e5,0.00016559,0.99983442,Yes
12013,ce_e5,0.00016954,0.99983048,Yes
12014,ce_e5,0.00015016,0.99984980,Yes
12015,ce_e5,0.00004803,0.99995196,Yes
12016,ce_e5,0.01936905,0.98063087,Yes
12017,ce_e5,0.00000630,0.99999368,Yes
12018,ce_e5,0.00008500,0.99991500,Yes
12019,ce_e5,0.97489148,0.02510845,No
12020,ce_e5,0.94841337,0.05158662,No
12021,ce_e5,0.00006070,0.99993932,Yes
12022,ce_e5,0.00004639,0.99995363,Yes
12023,ce_e5,0.00001265,0.99998736,Yes
12024,ce_e5,0.00011813,0.99988186,Yes
12025,ce_e5,0.00049214,0.99950790,Yes
12026,ce_e5,0.93143386,0.06856608,No
12027,ce_e5,0.00011799,0.99988198,Yes
12028,ce_e5,0.00002494,0.99997509,Yes
12029,ce_e5,0.99722469,0.00277532,No
12030,ce_e5,0.00198894,0.99801105,Yes
12031,ce_e5,0.00001272,0.99998724,Yes
12032,ce_e5,0.00001238,0.99998760,Yes
12033,ce_e5,0.00001225,0.99998772,Yes
12034,ce_e5,0.00003909,0.99996090,Yes
12035,ce_e5,0.00001137,0.99998868,Yes
12036,ce_e5,0.00005184,0.99994814,Yes
12037,ce_e5,0.00050146,0.99949849,Yes
12038,ce_e5,0.00053991,0.99946004,Yes
12039,ce_e5,0.00087927,0.99912077,Yes
12040,ce_e5,0.00068710,0.99931288,Yes
12041,ce_e5,0.00154487,0.99845517,Yes
12042,ce_e5,0.58574486,0.41425517,No
12043,ce_e5,0.99004352,0.00995650,No
12044,ce_e5,0.00083735,0.99916267,Yes
12045,ce_e5,0.86567563,0.13432443,No
12046,ce_e5,0.99994111,0.00005887,No
12047,ce_e5,0.00009002,0.99991000,Yes
12048,ce_e5,0.00001953,0.99998045,Yes
12049,ce_e5,0.00024056,0.99975950,Yes
12050,ce_e5,0.00001194,0.99998808,Yes
12051,ce_e5,0.00000987,0.99999011,Yes
12052,ce_e5,0.00019558,0.99980444,Yes
12053,ce_e5,0.00002467,0.99997532,Yes
