id,member,score_no,score_yes,pred
12001,ensemble_st2_mix_a2_b3_seed123,0.00000899,0.99999106,Yes
12002,ensemble_st2_mix_a2_b3_seed123,0.00004524,0.99995470,Yes
12003,ensemble_st2_mix_a2_b3_seed123,0.00001840,0.99998164,Yes
12004,ensemble_st2_mix_a2_b3_seed123,0.00002931,0.99997067,Yes
12005,ensemble_st2_mix_a2_b3_seed123,0.00001496,0.99998498,Yes
12006,ensemble_st2_mix_a2_b3_seed123,0.00000709,0.99999297,Yes
12007,ensemble_st2_mix_a2_b3_seed123,0.00006371,0.99993622,Yes
12008,ensemble_st2_mix_a2_b3_seed123,0.00000779,0.99999225,Yes
12009,ensemble_st2_mix_a2_b3_seed123,0.09763692,0.90236306,Yes
12010,ensemble_st2_mix_a2_b3_seed123,0.00017165,0.99982834,Yes
12001,ensemble_st2_mix_a2_b3_seed2024,0.00001466,0.99998534,Yes
12002,ensemble_st2_mix_a2_b3_seed2024,0.00001249,0.99998748,Yes
12003,ensemble_st2_mix_a2_b3_seed2024,0.00000866,0.99999130,Yes
12004,ensemble_st2_mix_a2_b3_seed2024,0.00007332,0.99992669,Yes
12005,ensemble_st2_mix_a2_b3_seed2024,0.00000655,0.99999344,Yes
12006,ensemble_st2_mix_a2_b3_seed2024,0.00000582,0.99999416,Yes
12007,ensemble_st2_mix_a2_b3_seed2024,0.00002881,0.99997115,Yes
12008,ensemble_st2_mix_a2_b3_seed2024,0.00000698,0.99999297,Yes
12009,ensemble_st2_mix_a2_b3_seed2024,0.89852673,0.10147322,No
12010,ensemble_st2_mix_a2_b3_seed2024,0.00008614,0.99991381,Yes
12001,ensemble_st2_mix_a2_b3_seed31337,0.00000692,0.99999309,Yes
12002,ensemble_st2_mix_a2_b3_seed31337,0.00005032,0.99994969,Yes
12003,ensemble_st2_mix_a2_b3_seed31337,0.00005925,0.99994075,Yes
12004,ensemble_st2_mix_a2_b3_seed31337,0.00002683,0.99997318,Yes
12005,ensemble_st2_mix_a2_b3_seed31337,0.00001621,0.99998379,Yes
12006,ensemble_st2_mix_a2_b3_seed31337,0.00000388,0.99999607,Yes
12007,ensemble_st2_mix_a2_b3_seed31337,0.00028150,0.99971849,Yes
12008,ensemble_st2_mix_a2_b3_seed31337,0.00000443,0.99999559,Yes
12009,ensemble_st2_mix_a2_b3_seed31337,0.99696392,0.00303612,No
12010,ensemble_st2_mix_a2_b3_seed31337,0.00034562,0.99965441,Yes
12001,ensemble_st2_mix_a2_b3_seed42,0.00002627,0.99997377,Yes
12002,ensemble_st2_mix_a2_b3_seed42,0.00027960,0.99972039,Yes
12003,ensemble_st2_mix_a2_b3_seed42,0.00206804,0.99793196,Yes
12004,ensemble_st2_mix_a2_b3_seed42,0.00004632,0.99995363,Yes
12005,ensemble_st2_mix_a2_b3_seed42,0.00002685,0.99997318,Yes
12006,ensemble_st2_mix_a2_b3_seed42,0.00003859,0.99996138,Yes
12007,ensemble_st2_mix_a2_b3_seed42,0.00004328,0.99995673,Yes
12008,ensemble_st2_mix_a2_b3_seed42,0.00001864,0.99998140,Yes
12009,ensemble_st2_mix_a2_b3_seed42,0.88252103,0.11747897,No
12010,ensemble_st2_mix_a2_b3_seed42,0.00180180,0.99819821,Yes
12001,ensemble_st2_mix_a2_b3_seed7,0.00000955,0.99999046,Yes
12002,ensemble_st2_mix_a2_b3_seed7,0.00007059,0.99992943,Yes
12003,ensemble_st2_mix_a2_b3_seed7,0.00001221,0.99998784,Yes
12004,ensemble_st2_mix_a2_b3_seed7,0.00001801,0.99998200,Yes
12005,ensemble_st2_mix_a2_b3_seed7,0.00000664,0.99999332,Yes
12006,ensemble_st2_mix_a2_b3_seed7,0.00000741,0.99999261,Yes
12007,ensemble_st2_mix_a2_b3_seed7,0.00003822,0.99996173,Yes
12008,ensemble_st2_mix_a2_b3_seed7,0.00000388,0.99999607,Yes
12009,ensemble_st2_mix_a2_b3_seed7,0.99361235,0.00638763,No
12010,ensemble_st2_mix_a2_b3_seed7,0.00002628,0.99997377,Yes
